genome_id,hit_count
GCA_006438845.1,5
GCA_028023875.1,4
GCA_902712855.1,4
GCA_004016505.1,4
GCA_042665135.1,4
GCA_006974105.1,4
GCA_002083775.1,4
GCA_015159745.1,3
GCA_000477435.1,3
GCA_005403045.1,3
GCA_001761385.1,3
GCA_004681965.1,3
GCA_030811835.1,3
GCA_900113035.1,3
GCA_013410775.1,3
GCA_013377855.1,3
GCA_014641715.1,3
GCA_002192535.1,3
GCA_001938565.1,3
GCA_015831345.1,3
GCA_003415675.1,3
GCA_002157145.1,3
GCA_042648585.1,3
GCA_000215705.1,3
GCA_018069865.1,3
GCA_007993815.1,3
GCA_000284255.1,3
GCA_018069755.1,3
GCA_031453675.1,3
GCA_006716905.1,3
GCA_029892485.1,3
GCA_014395975.1,3
GCA_003350475.1,3
GCA_025309455.1,3
GCA_000184745.1,3
GCA_004016515.1,2
GCA_009755665.1,2
GCA_000176855.2,2
GCA_040105105.1,2
GCA_000834655.1,2
GCA_000015505.1,2
GCA_000015565.1,2
GCA_029919115.1,2
GCA_014204525.1,2
GCA_040544695.1,2
GCA_027941915.1,2
GCA_001017435.1,2
GCA_002157685.2,2
GCA_040409815.1,2
GCA_003933735.1,2
GCA_030160455.1,2
GCA_013307245.1,2
GCA_016722785.1,2
GCA_002206635.1,2
GCA_030160815.1,2
GCA_003013695.1,2
GCA_040544635.1,2
GCA_013307225.1,2
GCA_039541515.1,2
GCA_000015725.1,2
GCA_020880815.1,2
GCA_003952165.1,2
GCA_032193765.1,2
GCA_003951285.1,2
GCA_016093275.1,2
GCA_009646335.1,2
GCA_021026195.1,2
GCA_001005215.1,2
GCA_900110225.1,2
GCA_013294065.1,2
GCA_043555865.1,2
GCA_004340905.1,2
GCA_016722765.1,2
GCA_014297465.1,2
GCA_004681975.1,2
GCA_022811525.1,2
GCA_901875635.1,2
GCA_013426975.1,2
GCA_038066575.1,2
GCA_002222655.1,2
GCA_900102625.1,2
GCA_013307205.1,2
GCA_009857535.1,2
GCA_014837235.1,2
GCA_025398155.2,2
GCA_900205755.1,2
GCA_028649475.1,2
GCA_012849375.1,2
GCA_043555835.1,2
GCA_031454625.1,2
GCA_900176405.1,2
GCA_002966795.1,2
GCA_039540375.1,2
GCA_001270065.2,2
GCA_031020795.1,2
GCA_013387465.1,2
GCA_041107495.1,2
GCA_030316895.1,2
GCA_030486595.1,2
GCA_003008595.1,2
GCA_002017865.1,2
GCA_003008535.1,2
GCA_032191775.1,2
GCA_900112675.1,2
GCA_031326225.1,2
GCA_030815855.1,2
GCA_004803635.1,2
GCA_028649435.1,2
GCA_003063455.1,2
GCA_014192155.1,2
GCA_030812215.1,2
GCA_030410485.1,2
GCA_032337115.1,2
GCA_900100305.1,2
GCA_040544675.1,2
GCA_003269065.1,2
GCA_030811855.1,2
GCA_042655405.1,2
GCA_001476815.1,2
GCA_900104515.1,2
GCA_900103645.1,2
GCA_023231945.1,2
GCA_003843835.1,2
GCA_003337425.1,2
GCA_900089455.2,1
GCA_002205845.1,1
GCA_004217215.1,1
GCA_914271435.1,1
GCA_000026125.1,1
GCA_003201815.1,1
GCA_000761245.1,1
GCA_012184415.1,1
GCA_028595345.1,1
GCA_009857605.1,1
GCA_008632125.1,1
GCA_000807775.2,1
GCA_028595305.1,1
GCA_043555935.1,1
GCA_902459765.1,1
GCA_001955695.1,1
GCA_015476235.1,1
GCA_002930615.1,1
GCA_000016345.1,1
GCA_002213415.1,1
GCA_902859765.1,1
GCA_035784015.1,1
GCA_003261235.1,1
GCA_000972785.3,1
GCA_003008575.1,1
GCA_003569915.1,1
GCA_002116905.1,1
GCA_013141915.1,1
GCA_018139565.1,1
GCA_013003915.1,1
GCA_042748965.1,1
GCA_007556585.1,1
GCA_902459735.1,1
GCA_900094595.1,1
GCA_002761755.1,1
GCA_004310865.1,1
GCA_030505195.1,1
GCA_007556605.1,1
GCA_030064165.1,1
GCA_044792555.1,1
GCA_004362525.1,1
GCA_023734135.1,1
GCA_008011715.2,1
GCA_902859745.1,1
GCA_003570885.1,1
GCA_013314895.1,1
GCA_002245625.1,1
GCA_014284335.1,1
GCA_021049305.1,1
GCA_038066595.1,1
GCA_020162115.1,1
GCA_030705305.1,1
GCA_900078705.1,1
GCA_021044825.1,1
GCA_003003055.1,1
GCA_900250115.1,1
GCA_004614185.1,1
GCA_001598055.1,1
GCA_009857915.1,1
GCA_042434355.1,1
GCA_905397285.1,1
GCA_004342625.1,1
GCA_002206625.1,1
GCA_018687575.1,1
GCA_021353235.1,1
GCA_008801835.1,1
GCA_903815225.1,1
GCA_003953935.1,1
GCA_001758785.1,1
GCA_902459775.1,1
GCA_042665235.1,1
GCA_902459805.1,1
GCA_003387155.1,1
GCA_000814845.2,1
GCA_007556685.1,1
GCA_001465595.2,1
GCA_031457455.1,1
GCA_030285365.1,1
GCA_014200505.1,1
GCA_904848585.1,1
GCA_009720775.1,1
GCA_002261355.1,1
GCA_007556755.1,1
GCA_009857835.1,1
GCA_004217045.1,1
GCA_014042365.1,1
GCA_014284195.1,1
GCA_002760655.1,1
GCA_008801915.1,1
GCA_032193805.1,1
GCA_000723405.1,1
GCA_039872745.1,1
GCA_001955715.1,1
GCA_016127315.1,1
GCA_026127385.1,1
GCA_026013905.1,1
GCA_050632235.1,1
GCA_902459645.1,1
GCA_003755025.1,1
GCA_004363315.1,1
GCA_000019785.1,1
GCA_002158865.1,1
GCA_042678185.1,1
GCA_014284125.1,1
GCA_009857435.1,1
GCA_001953355.1,1
GCA_003241055.1,1
GCA_017498525.1,1
GCA_020080045.1,1
GCA_011947285.1,1
GCA_009720835.1,1
GCA_043555845.1,1
GCA_003058465.1,1
GCA_004362405.1,1
GCA_905397395.1,1
GCA_019973615.1,1
GCA_014207855.1,1
GCA_016641735.1,1
GCA_000973625.1,1
GCA_031457975.1,1
